iter	Passed	Remaining
448	1095	1344
449	1097	1340
450	1098	1337
451	1099	1333
452	1100	1329
453	1102	1326
454	1104	1322
455	1106	1319
456	1108	1316
457	1109	1312
458	1110	1309
459	1112	1305
460	1113	1301
461	1114	1297
462	1118	1297
463	1132	1307
464	1143	1315
465	1144	1311
466	1146	1308
467	1147	1304
468	1148	1300
469	1149	1296
470	1151	1292
471	1152	1289
472	1153	1285
473	1155	1281
474	1156	1277
475	1157	1274
476	1158	1270
477	1160	1266
478	1161	1263
479	1162	1259
480	1164	1256
481	1165	1252
482	1166	1248
483	1167	1245
484	1169	1241
485	1170	1237
486	1171	1234
487	1173	1230
488	1174	1227
489	1175	1223
490	1176	1219
491	1178	1216
492	1179	1212
493	1180	1209
494	1182	1206
495	1183	1202
496	1184	1199
497	1186	1195
498	1187	1192
499	1188	1188
500	1189	1185
501	1191	1181
502	1192	1178
503	1193	1174
504	1194	1171
505	1196	1167
506	1197	1164
507	1198	1161
508	1201	1159
509	1219	1171
510	1220	1168
511	1227	1169
512	1229	1167
513	1231	1163
514	1234	1162
515	1235	1158
516	1236	1155
517	1238	1152
518	1239	1148
519	1240	1145
520	1242	1142
521	1243	1138
522	1244	1135
523	1246	1132
524	1247	1128
525	1249	1126
526	1258	1129
527	1259	1125
528	1260	1122
529	1261	1119
530	1263	1115
531	1264	1112
532	1265	1109
533	1268	1106
534	1276	1109
535	1278	1106
536	1279	1103
537	1280	1099
538	1282	1096
539	1283	1093
540	1284	1089
541	1286	1086
542	1287	1083
543	1288	1080
544	1289	1076
545	1291	1073
546	1292	1070
547	1293	1067
548	1295	1063
549	1297	1061
550	1307	1065
551	1309	1062
552	1310	1059
553	1319	1062
554	1322	1060
555	1331	1063
556	1333	1060
557	1334	1057
558	1335	1053
559	1337	1050
560	1338	1047
561	1339	1044
562	1340	1040
563	1342	1037
564	1343	1034
565	1346	1032
566	1355	1035
567	1359	1034
568	1362	1031
569	1364	1029
570	1370	1029
571	1374	1028
572	1377	1026
573	1381	1025
574	1383	1022
575	1384	1019
576	1385	1016
577	1387	1012
578	1388	1009
579	1389	1006
580	1391	1003
581	1403	1008
582	1418	1014
583	1419	1011
584	1421	1008
585	1422	1004
586	1423	1001
587	1425	998
588	1431	998
589	1436	998
590	1437	994
591	1438	991
592	1443	990
593	1445	987
594	1447	985
595	1449	982
596	1450	979
597	1452	976
598	1454	973
599	1456	970
600	1461	970
601	1477	976
602	1480	974
603	1481	971
604	1483	968
605	1484	965
606	1486	962
607	1487	959
608	1488	955
609	1490	952
610	1492	949
611	1493	947
612	1495	944
613	1496	940
614	1498	937
615	1499	934
616	1500	931
617	1502	928
618	1503	925
619	1504	922
620	1505	919
621	1507	915
622	1508	912
623	1509	909
624	1511	906
625	1512	903
626	1515	901
627	1516	898
628	1517	895
629	1519	892
630	1520	889
631	1521	886
632	1523	883
633	1524	880
634	1525	877
635	1537	880
636	1539	877
637	1541	874
638	1544	872
639	1548	870
640	1551	868
641	1558	869
642	1560	866
643	1561	863
644	1563	860
645	1564	857
646	1567	855
647	1569	852
648	1570	849
649	1571	846
650	1573	843
651	1585	846
652	1587	843
653	1606	849
654	1615	851
655	1617	848
656	1618	845
657	1632	848
658	1634	845
659	1642	846
660	1658	850
661	1660	847
662	1661	844
663	1662	841
664	1664	838
665	1665	835
666	1666	832
667	1668	829
668	1669	826
669	1671	823
670	1674	820
671	1677	818
672	1693	823
673	1695	820
674	1697	817
675	1698	814
676	1700	811
677	1702	808
678	1704	805
679	1736	817
680	1754	821
681	1763	822
682	1765	819
683	1766	816
684	1769	813
685	1771	811
686	1774	808
687	1777	805
688	1779	803
689	1780	800
690	1783	797
691	1789	796
692	1791	793
693	1793	790
694	1799	789
695	1801	786
696	1804	784
697	1811	783
698	1826	786
699	1833	785
700	1845	787
701	1869	793
702	1892	799
703	1904	800
704	1922	804
705	1933	805
706	1935	802
707	1940	800
708	1968	807
709	2008	820
710	2014	818
711	2018	816
712	2026	815
713	2028	812
714	2033	810
715	2039	808
716	2047	808
717	2049	804
718	2053	802
719	2056	799
720	2058	796
721	2060	793
722	2063	790
723	2074	790
724	2099	796
725	2101	793
726	2103	789
727	2106	787
728	2111	785
729	2116	782
730	2119	780
731	2126	778
732	2130	775
733	2134	773
734	2140	771
735	2142	768
736	2143	765
737	2145	761
738	2147	758
739	2151	756
740	2171	759
741	2195	763
742	2203	762
743	2206	759
744	2211	757
745	2214	754
746	2217	751
747	2235	753
748	2239	750
749	2241	747
750	2246	744
751	2250	742
752	2252	738
753	2256	736
754	2259	733
755	2263	730
756	2266	727
757	2268	724
758	2270	720
759	2272	717
760	2273	714
761	2282	712
762	2284	709
763	2286	706
764	2288	703
765	2290	699
766	2292	696
767	2295	693
768	2316	695
769	2326	694
770	2329	691
771	2345	692
772	2360	693
773	2380	694
774	2403	697
775	2427	700
776	2443	701
777	2445	697
778	2447	694
779	2450	691
780	2452	687
781	2453	684
782	2455	680
783	2457	677
784	2459	673
785	2460	669
786	2462	666
787	2464	663
788	2466	659
789	2468	656
790	2470	652
791	2472	649
792	2474	645
793	2475	642
794	2477	638
